id,final_stake,final_synergy_score,blocks_proposed,blocks_attested,governance_votes,slashing_count,strategy,is_active,reputation_mean,reputation_std
val_0058,229.3018564130142,231.86326228555558,210,15790,412,0,honest,True,231.79814415519726,0.06739145141773585
val_0059,2195.1950100252266,253.30984342728163,215,11949,500,0,cartel_member,True,253.2886358846441,0.017085693721454385
val_0060,2841.501474569279,236.05197343530676,188,15812,422,0,honest,True,235.98397069348496,0.05849740979073319
val_0061,1719.363303471393,228.20809162928967,176,15824,404,0,honest,True,228.25927123646917,0.14383437352017778
val_0062,16410.408195928823,234.69868195025234,210,15790,411,0,honest,True,234.61947007614503,0.07757657180979217
val_0063,2502.5304585326503,253.91509450348227,235,11894,500,0,cartel_member,True,253.9135666969396,0.011901516176969244
val_0064,1799.4973783618814,48.21175544713152,34,7931,42,0,lazy,True,48.25706749983429,0.039621192811704606
val_0065,5010.586108149574,227.84113934989173,205,15795,400,0,honest,True,227.7582680624964,0.08161173863786837
val_0066,779.8410338832417,48.88818230683125,43,7872,44,0,lazy,True,48.927471556804896,0.07383342683900629
val_0067,14237.37258262064,233.22198314375424,191,15809,409,0,honest,True,233.1636547360956,0.053765508208845035
val_0068,387.89042285893396,216.50358216473663,182,12714,405,0,opportunistic,True,216.53999029995458,0.13419023033447477
val_0069,124275.65676723995,249.78295437244682,184,15816,397,0,honest,True,249.71257368649418,0.06348772534374897
val_0070,12303.520619987423,231.26153473703306,180,15820,407,0,honest,True,231.15300201382098,0.08559798953267361
val_0071,1164.6498412737972,230.0214550777274,150,15849,411,0,adaptive,True,230.09460126455878,0.134419059831033
val_0072,27.06374617738936,83.1633055083145,54,4749,159,0,byzantine,True,83.14979983464505,0.10375358734407923
val_0073,15258.278900040013,213.40843534325978,164,12665,392,0,opportunistic,True,213.33446466679877,0.06589672255726413
val_0074,9264.898137549326,83.46814320048368,69,4721,154,0,byzantine,True,83.3359325801817,0.11002828225872277
val_0075,10156.606338882428,218.01057397908698,161,12698,406,0,opportunistic,True,218.09187591777342,0.14484077242355592
val_0076,12247.754980061589,231.7861916502817,184,15816,408,0,honest,True,231.72538793962147,0.05559509273636822
val_0077,385.08302975169426,252.01401266820423,192,11930,500,0,cartel_member,True,251.9617210005858,0.022390946757467126
val_0078,2519.997512221559,54.98291796190213,46,7976,57,0,lazy,True,55.03295722832264,0.04600189330057877
val_0079,626.1279642588223,53.117194905563075,51,7957,53,0,lazy,True,53.1542222918892,0.02685589281029228
val_0080,20231.52332960269,256.51583401150464,200,11992,500,0,cartel_member,True,256.51580588497336,0.016098293147434016
val_0081,6711.743805372898,230.5186762895612,203,15797,405,0,honest,True,230.4742527230046,0.07302323875716309
val_0082,2247.8937591670183,226.81184763612367,179,15821,401,0,honest,True,226.72442389766172,0.07474440343588348
val_0083,327.4717788191386,207.64291433729827,163,12681,385,0,opportunistic,True,207.54185545612074,0.07951418556617808
val_0084,2062.6700207761,226.72557636489395,166,15831,401,0,adaptive,True,227.05152259779658,0.2508980691466675
val_0085,2193.813382861102,225.23157725754368,180,15820,397,0,honest,True,225.42096336662505,0.13456135807508637
val_0086,10182.404216578396,84.38574340368862,53,4863,155,0,byzantine,True,84.35352423317127,0.11270333429739698
val_0087,7077.33778083014,51.233829199760734,34,7922,47,0,lazy,True,51.26958172618908,0.07495574206692747
val_0088,24029.41432358156,232.53509339528432,172,15828,405,0,honest,True,232.43825028182,0.060790975628283145
val_0089,3887.0335754033954,253.2881886389509,209,11913,500,0,cartel_member,True,253.31669339039377,0.01259502475320503
val_0090,648.5199956077901,212.35173290598837,160,12668,397,0,opportunistic,True,212.25321168279447,0.080007012583692
val_0091,9510.242140892538,224.88914393928323,174,15826,393,0,honest,True,224.8142320957656,0.06692668049906855
val_0092,11671.76693230951,228.02158008061528,159,15841,400,0,honest,True,227.95206037839492,0.06203598462468985
val_0093,5356.263041175726,224.79667081761474,184,15816,393,0,honest,True,224.70097060783075,0.07923895936176444
val_0094,12230.485606773122,230.9178540610732,194,15806,405,0,honest,True,230.84700290451718,0.06803878939212102
val_0095,4203.266283299087,225.95831780007256,154,15846,400,0,honest,True,225.88740315318722,0.06303839934498279
val_0096,4664.365603511014,212.48878073566962,175,12661,394,0,opportunistic,True,212.80081264520385,0.2685447535746347
val_0097,3296.245730551757,224.3466915351074,171,15829,394,0,honest,True,224.25422032349346,0.0795785561236135
val_0098,126.69250961226385,231.03691349890687,198,15802,411,0,honest,True,231.25360548443,0.14718404369795116
val_0099,578.6994145010945,49.477993360415915,44,8020,44,0,lazy,True,49.50450184886065,0.02988071525700887
